Index: 24 | Entry: bacʼohya· | Absolutive: bacʼo hya· | Generated Absolutive: bacʼohya·
Index: 4087 | Entry: *putayʔta | Absolutive: puhtayʔtaw | Generated Absolutive: putayʔtaw
Index: 4111 | Entry: *pʰabo·c | Absolutive: pʰboʔ | Generated Absolutive: pʰaboʔ
Index: 4121 | Entry: *pʰacʼotʰqo | Absolutive: pʰacʼotʰqo | Generated Absolutive: pʰacʼotʰqow
Index: 4127 | Entry: *pʰakʼahci | Absolutive: pʰaʔkʼahciw | Generated Absolutive: pʰakʼahciw
Index: 4140 | Entry: *pʰakʼum | Absolutive: pʰakʼum | Generated Absolutive: pʰakʼumʔ
Index: 4158 | Entry: *pʰasʼayʔṭa | Absolutive: pʰasʼayṭaw | Generated Absolutive: pʰasʼayʔṭaw
Index: 4165 | Entry: *pʰaṭʼahway | Absolutive: pʰaṭʼahway | Generated Absolutive: pʰaṭʼahwayʔ
Index: 4209 | Entry: *pʰaʔṭʼawʔduc | Absolutive: pʰaʔṭʼawʔdu | Generated Absolutive: pʰaʔṭʼawʔduʔ
Index: 4223 | Entry: *pʰe·cʼ | Absolutive: pʰe·cʼ | Generated Absolutive: pʰeʔ
Index: 4231 | Entry: pʰibe·lma | Absolutive: pʰibelmaw | Generated Absolutive: pʰibelma
Index: 4238 | Entry: *pʰicʼah | Absolutive: pʰicʼah | Generated Absolutive: pʰicʼaʔ
Index: 4258 | Entry: *pʰihtimaqʷ | Absolutive: pʰihtimaqʷ | Generated Absolutive: pʰihtimaʔ
Index: 4259 | Entry: *pʰikʼahci | Absolutive: pʰiʔkʼahciw | Generated Absolutive: pʰikʼahciw
Index: 4271 | Entry: *pʰikʼoyʔcʼiwacʼ | Absolutive: pʰikʼoyʔciwaʔ | Generated Absolutive: pʰikʼoyʔcʼiwaʔ
Index: 4280 | Entry: *pʰilohtoqocʼ | Absolutive: pʰilohtoqocʼ | Generated Absolutive: pʰilohtoqoʔ
Index: 4285 | Entry: *pʰimam | Absolutive: pʰimam | Generated Absolutive: pʰimamʔ
Index: 4343 | Entry: *pʰiʔtʼamad | Absolutive: pʰiʔtʼamadu | Generated Absolutive: pʰiʔtʼama·du
Index: 4367 | Entry: *pʰobo·kʼma | Absolutive: pʰoboʔ | Generated Absolutive: pʰobokʼmaw
Index: 4389 | Entry: *pʰoʔkʼoṭʰkʼoṭʰo·wad | Absolutive: pʰoʔkʼoṭʰkʼoṭʰowa·du | Generated Absolutive: pʰoʔkʼoṭʰkʼoṭʰo·wadu
Index: 4410 | Entry: *pʰukʼahci | Absolutive: šuʔkʼahciw | Generated Absolutive: pʰukʼahciw
Index: 4467 | Entry: *qabohšaq | Absolutive: qabohsaʔ | Generated Absolutive: qabohšaʔ
Index: 4488 | Entry: qada·la | Absolutive: qada·law | Generated Absolutive: qada·la
Index: 4493 | Entry: *qahcoqacotad | Absolutive: qacoqacota·du | Generated Absolutive: qahcoqacota·du
Index: 4496 | Entry: *qahcʰaqacʰatad | Absolutive: qahcʰaqahcʰaw | Generated Absolutive: qahcʰaqacʰata·du
Index: 4523 | Entry: *qahpola·tad | Absolutive: qahpola·tad | Generated Absolutive: qahpola·tadu
Index: 4529 | Entry: *qahpʰohpʰo | Absolutive: qahpʰoqahpʰow | Generated Absolutive: qahpʰohpʰow
Index: 4531 | Entry: *qahpʰula·tad | Absolutive: qahpʰula·tad | Generated Absolutive: qahpʰula·tadu
Index: 4554 | Entry: *qahṭekeye | Absolutive: qahṭakeyew | Generated Absolutive: qahṭekeyew
Index: 4564 | Entry: *qako·lma | Absolutive: qakolmáw | Generated Absolutive: qakolmaw
Index: 4593 | Entry: *qaqawa·tad | Absolutive: qaqawá·tadu | Generated Absolutive: qaqawa·tadu
Index: 4607 | Entry: *qatʼehtimqa | Absolutive: qatʼehtimqaʔ | Generated Absolutive: qatʼehtimqaw
Index: 4658 | Entry: *qaʔṭu | Absolutive: qaʔṭʼuw | Generated Absolutive: qaʔṭuw
Index: 4661 | Entry: *qaʔṭʼawʔduc | Absolutive: qaʔṭʼawʔdu | Generated Absolutive: qaʔṭʼawʔduʔ
Index: 4677 | Entry: *qoca·tad | Absolutive: qoca·tadu | Generated Absolutive: qocata·du
Index: 4684 | Entry: *qowa·taq | Absolutive: qowa·tadu | Generated Absolutive: qowa·taʔ
Index: 4696 | Entry: *qʰaditicʼ | Absolutive: qʰaditicʼ | Generated Absolutive: qʰaditiʔ
Index: 4720 | Entry: qʼ | Absolutive: qʼ | Generated Absolutive: ʔ
Index: 4721 | Entry: qʼ | Absolutive: qʼ | Generated Absolutive: ʔ
Index: 4723 | Entry: *qʼacʰqa | Absolutive: qʼacʰqa | Generated Absolutive: qʼacʰqaw
Index: 4725 | Entry: *qʼahcala | Absolutive: qʼahcala | Generated Absolutive: qʼahcalaw
Index: 4740 | Entry: *qʼa·waduc | Absolutive: qʼa·waduʔ | Generated Absolutive: qʼawa·duʔ
Index: 4743 | Entry: *qʼodi·caymucʼ | Absolutive: qʼodi·ca·muʔ | Generated Absolutive: qʼodi·caymuʔ
Index: 4767 | Entry: sibo se·ntu | Absolutive: sibose·ntu | Generated Absolutive: sibo sentu
Index: 4783 | Entry: *sicʼahni | Absolutive: sicʼahn | Generated Absolutive: sicʼahniw
Index: 4795 | Entry: *sihcʰahcʰa | Absolutive: sihcʰahcʰaʔ | Generated Absolutive: sihcʰahcʰaw
Index: 4796 | Entry: *sihcʰasicʰatad | Absolutive: sihcʰasihcʰaw | Generated Absolutive: sihcʰasicʰata·du
Index: 4809 | Entry: *sihkʰiṭʼ | Absolutive: sihkʰiʔ sihkiʔ | Generated Absolutive: sihkʰiʔ
Index: 4813 | Entry: *sihlihlic | Absolutive: sihlihliciw | Generated Absolutive: sihlihliʔ
Index: 4821 | Entry: *sihpitʼci | Absolutive: sihpitʼ | Generated Absolutive: sihpitʼciw
Index: 4823 | Entry: *sihpʰaqʼ | Absolutive: sihpʰaqʼciw | Generated Absolutive: sihpʰaʔ
Index: 4824 | Entry: *sihpʰitʼci | Absolutive: sihpʰiʔ | Generated Absolutive: sihpʰitʼciw
Index: 4840 | Entry: *sihsimqa | Absolutive: sihsimʔ | Generated Absolutive: sihsimqaw
Index: 4851 | Entry: sihṭʰe | Absolutive: sihṭʰew | Generated Absolutive: sihṭʰe
Index: 4905 | Entry: *sisokʼot | Absolutive: sisokʼotʔ | Generated Absolutive: sisokʼoʔ
Index: 4914 | Entry: *sitayʔta | Absolutive: sihtayʔtaw | Generated Absolutive: sitayʔtaw
Index: 4921 | Entry: *sitʼul | Absolutive: siw | Generated Absolutive: sitʼulʔ
Index: 4943 | Entry: *siʔkʼisiʔkʼim | Absolutive: siʔkʼisiʔkʼim | Generated Absolutive: siʔkʼisiʔkʼimʔ
Index: 4949 | Entry: *siʔlasiʔla | Absolutive: siʔlasiʔlaw siʔlasilaʔ | Generated Absolutive: siʔlasiʔlaw
Index: 4962 | Entry: *siʔṭʼenṭʼele | Absolutive: siʔṭʼenṭʼeleʔ | Generated Absolutive: siʔṭʼenṭʼelew
Index: 4981 | Entry: ste·cʰ | Absolutive: ste·cʰ | Generated Absolutive: teʔ
Index: 4987 | Entry: sʼapʼ | Absolutive: sʼapʼ | Generated Absolutive: sʼaʔ
Index: 4990 | Entry: sʼaṭʼ | Absolutive: sʼaṭʼ | Generated Absolutive: sʼaʔ
Index: 4992 | Entry: *sʼawila·tadu | Absolutive: sʼawila·tadu | Generated Absolutive: sʼawila·taduw
Index: 5006 | Entry: sʼipʼ | Absolutive: sʼipʼ | Generated Absolutive: sʼiʔ
Index: 5009 | Entry: *sʼiṭi·m | Absolutive: sʼitimʔ | Generated Absolutive: sʼiṭimʔ
Index: 5010 | Entry: sʼiṭʼ | Absolutive: sʼiṭʼ | Generated Absolutive: sʼiʔ
Index: 5025 | Entry: sʼupʼ | Absolutive: sʼupʼ | Generated Absolutive: sʼuʔ
Index: 5028 | Entry: *sʼuwahcihqa | Absolutive: sʼuwahcihqa | Generated Absolutive: sʼuwahcihqaw
Index: 5069 | Entry: šaqʼa·qʼayʔ | Absolutive: ša qʼa·qʼayʔ šaqʼa·qʼay | Generated Absolutive: šaqʼa·qʼayʔ
Index: 5076 | Entry: šatʼ | Absolutive: šatʼ | Generated Absolutive: šaʔ
Index: 5092 | Entry: *šaʔqʼoʔdiwad | Absolutive: šaʔqʼoʔdowa·du | Generated Absolutive: šaʔqʼoʔdiwa·du
Index: 5109 | Entry: šihmi | Absolutive: šihmiw | Generated Absolutive: šihmi
Index: 5117 | Entry: *ši·batʰi | Absolutive: ši·batʰiw | Generated Absolutive: šiba·tʰiw
Index: 5124 | Entry: *šocad | Absolutive: šocadu | Generated Absolutive: šoca·du
Index: 5185 | Entry: *šoʔkʼoyi·bic | Absolutive: šokʼoyi·biʔ | Generated Absolutive: šoʔkʼoyi·biʔ
Index: 5192 | Entry: šo·tʼ | Absolutive: šotʼ | Generated Absolutive: šoʔ
Index: 5204 | Entry: *šucʰiṭ | Absolutive: sucʰiʔ | Generated Absolutive: šucʰiʔ
Index: 5209 | Entry: *šucʰuw | Absolutive: šucʰuw | Generated Absolutive: šucʰuwʔ
Index: 5210 | Entry: *šucʼah | Absolutive: šucʼah | Generated Absolutive: šucʼaʔ
Index: 5211 | Entry: *šucʼahni | Absolutive: šucʼahn | Generated Absolutive: šucʼahniw
Index: 5236 | Entry: *šuhkʰahkʰa | Absolutive: šuhkʰáhkʰaw | Generated Absolutive: šuhkʰahkʰaw
Index: 5237 | Entry: *šuhkʰan | Absolutive: šuhkʰan- | Generated Absolutive: šuhkʰanʔ
Index: 5250 | Entry: *šuhmušumutad | Absolutive: šuhmušumutadu | Generated Absolutive: šuhmušumuta·du
Index: 5260 | Entry: *šuhpihpi | Absolutive: šuhpihpi | Generated Absolutive: šuhpihpiw
Index: 5261 | Entry: *šuhpitʼci | Absolutive: šuhpitʼ | Generated Absolutive: šuhpitʼciw
Index: 5264 | Entry: *šuhpʰitʼci | Absolutive: šuhpʰiʔ | Generated Absolutive: šuhpʰitʼciw
Index: 5281 | Entry: *šuhṭʰe | Absolutive: šuhṭʰe | Generated Absolutive: šuhṭʰew
Index: 5297 | Entry: *šukʰe·nʔwad | Absolutive: šukʰenʔwad | Generated Absolutive: šukʰenʔwadu
Index: 5299 | Entry: *šukʼahci | Absolutive: šuʔkʼahciw | Generated Absolutive: šukʼahciw
Index: 5337 | Entry: *šusʼatam | Absolutive: šusʼatámʔ | Generated Absolutive: šusʼatamʔ
Index: 5347 | Entry: *šutayʔta | Absolutive: šuhtayʔtaw | Generated Absolutive: šutayʔtaw
Index: 5349 | Entry: *šutilhla | Absolutive: sutilhlaw | Generated Absolutive: šutilhlaw
Index: 5373 | Entry: *šuʔkʼišukʼitad | Absolutive: šuʔkʼišukʼiʔ | Generated Absolutive: šuʔkʼišukʼita·du
Index: 5378 | Entry: *šuʔlušulutad | Absolutive: šuʔlušúluta·du | Generated Absolutive: šuʔlušuluta·du
Index: 5393 | Entry: *šuʔtʼutʰuc | Absolutive: šuʔṭʼutʰuʔ | Generated Absolutive: šuʔtʼutʰuʔ
Index: 5403 | Entry: *šuʔṭʼiʔṭʼic | Absolutive: šuʔṭʼiʔṭʼiw | Generated Absolutive: šuʔṭʼiʔṭʼiʔ
Index: 5420 | Entry: ta·pʰla | Absolutive: ta·pʰla | Generated Absolutive: tapʰla
Index: 5421 | Entry: ta·š | Absolutive: ta·š | Generated Absolutive: taš
Index: 5426 | Entry: teneto·r | Absolutive: teneto·r | Generated Absolutive: tenetoʔ
Index: 5427 | Entry: *tenhciwa·tacʼ | Absolutive: tenhciwa·tacʼ | Generated Absolutive: tenhciwa·taʔ
Index: 5443 | Entry: tu·š | Absolutive: tu·š | Generated Absolutive: tuš
Index: 5457 | Entry: tʼupʼ | Absolutive: tʼupʼ | Generated Absolutive: tʼuʔ
Index: 5459 | Entry: ṭaqʰ | Absolutive: ṭaqʰ | Generated Absolutive: ṭaʔ
Index: 5460 | Entry: ṭikʼ | Absolutive: ṭikʼ | Generated Absolutive: ṭiʔ
Index: 5462 | Entry: ṭolol | Absolutive: ṭol | Generated Absolutive: ṭolol
Index: 5465 | Entry: ṭoqʰ | Absolutive: ṭoqʰ | Generated Absolutive: ṭoʔ
Index: 5467 | Entry: *ṭʰabahtala | Absolutive: ṭʰabahtala | Generated Absolutive: ṭʰabahtalaw
Index: 5473 | Entry: ṭʰapʰ | Absolutive: ṭʰapʰ | Generated Absolutive: ṭʰaʔ
Index: 5486 | Entry: *ṭʼahši | Absolutive: ṭahšiw | Generated Absolutive: ṭʼahšiw
Index: 5490 | Entry: ṭʼoqoṭʼoqo | Absolutive: ṭʼoqoṭʼoqow | Generated Absolutive: ṭʼoqoṭʼoqo
Index: 5497 | Entry: *waraha·r | Absolutive: waraha·r | Generated Absolutive: warahaʔ
Index: 5498 | Entry: *waʔni | Absolutive: waʔni | Generated Absolutive: waʔniw
Index: 5499 | Entry: *waʔsu | Absolutive: waʔsu | Generated Absolutive: waʔsuw
Index: 5512 | Entry: ʔana hca | Absolutive: ʔanahca | Generated Absolutive: ʔana hca
Index: 5525 | Entry: *ʔcapʰṭʰe | Absolutive: ʔcapʰṭʰe | Generated Absolutive: capʰṭʰew
Index: 5528 | Entry: ʔda· | Absolutive: daw | Generated Absolutive: da·
Index: 5534 | Entry: *ʔdu·cicʼay | Absolutive: du·cicʼayʔ | Generated Absolutive: duci·cʼayʔ
Index: 5539 | Entry: *ʔihpʰuya·tam | Absolutive: ʔihpʰuya·tam | Generated Absolutive: ʔihpʰuya·tamʔ
Index: 5541 | Entry: ʔihqʰoṭ | Absolutive: ʔihqʰoṭ | Generated Absolutive: ʔihqʰoʔ
Index: 5560 | Entry: *ʔohcom | Absolutive: ʔohcom | Generated Absolutive: ʔohcomʔ
Index: 5577 | Entry: *ʔqʼoʔdiwad | Absolutive: ʔqʼoʔdowa·du | Generated Absolutive: qʼoʔdiwa·du
Index: 5586 | Entry: *ʔtʼomaqʷ | Absolutive: ʔtʼomaʔ | Generated Absolutive: tʼomaʔ
Index: 5587 | Entry: *ʔtʼutʰmuyicʼ | Absolutive: ʔtʼútʰmuyiʔ | Generated Absolutive: tʼutʰmuyiʔ
